Time,Temperature2M,RelativeHumidity2M,WindSpeed10M
2024-08-26T06:00,23.30,95,4.60
2024-08-26T07:00,23.90,93,7.00
2024-08-26T08:00,24.70,89,10.30
2024-08-26T09:00,25.50,86,12.60
2024-08-26T10:00,26.10,83,13.20
2024-08-26T11:00,26.70,81,13.00
2024-08-26T12:00,27.20,79,13.00
2024-08-26T13:00,27.50,77,13.30
2024-08-26T14:00,27.70,77,13.50
2024-08-26T15:00,27.70,77,13.00
2024-08-26T16:00,27.10,80,11.40
2024-08-26T17:00,26.30,84,8.90
2024-08-26T18:00,25.50,88,7.60
2024-08-26T19:00,25.10,90,7.60
2024-08-26T20:00,24.70,91,8.20
2024-08-26T21:00,24.40,92,8.70
2024-08-26T22:00,24.20,93,9.20
2024-08-26T23:00,24.10,94,9.70
